"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"P00021",19.3370569822662,18.3926940453798,NA,18.9737861464094,17.9928022920017,19.4507821256667,17.429989682636,18.8036665579277,18.5341460517148,18.8253837631376,19.348066485369,19.5651397940843,19.3237809500448,19.5632682854883,19.2959874445938,19.5431564027675,19.1046788905711,19.5371290859732,19.8360318163809,20.1033205165759,19.7658336967524,20.08451503858,19.1252773412555,20.0704697901908
"P00022",20.0013793140243,19.9393719216894,20.59466886494,20.0189651823974,20.7194658064352,20.5283899351712,19.6931658762616,NA,NA,20.5673722172472,20.6035563862818,19.6752563248187,20.4275137652985,19.6045291809303,20.9948284314396,NA,NA,20.4076670712766,20.3346853233737,21.3045820815345,NA,NA,19.9230531756808,20.6848560385311
"P00023",20.3552128225413,19.6685400761371,20.1502586884636,20.4159903295301,19.9819742322567,20.3266255716217,20.2614099803355,19.6444751585198,20.1770597673975,NA,20.088701105405,20.5772777311689,20.4719427358616,20.2675001440277,20.6980233316261,NA,21.0817523382892,NA,20.7547470726964,21.2227907768186,20.9178843124753,20.1528691485869,21.1064621690516,20.8445293036181
"P00024",19.2786776905873,19.6221223246083,19.278637853137,19.4739423219381,19.4106141327504,NA,19.4792480907046,19.7296842621258,20.7493553961688,20.618107760755,19.848605446325,20.0938613182025,19.927371477761,20.2708908278866,NA,19.6568055516406,NA,NA,20.3460357524919,20.4662714320939,20.7545261478635,21.1077482505245,NA,20.7006205680133
"P00025",19.4458792453115,20.2441668144076,19.150832178349,19.5871401368041,19.8426194735687,20.2652948610706,19.7532847260581,19.0052056055105,20.9591611126958,20.6215111553664,20.3895769832961,20.3418023516467,20.5280745423216,19.7278193410678,20.424476475434,19.9308790597855,20.7697903632936,20.9786615003048,20.4978020745851,20.6325580002315,20.1156724634946,20.9234078457257,20.6573215137164,20.8636465220507
"P00026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00027",20.2974020267382,20.1149313868347,19.8724849157457,20.2551283269238,20.3572735090105,19.7427468072377,19.8761842800245,19.1536361170653,NA,20.1176809467214,21.0123571776337,20.7206329254317,20.8882473542587,20.184476812857,20.1754579194047,20.4455110170842,21.1719558077407,20.5233395489597,21.499949219914,20.8253904978548,21.188789411597,21.1781131258279,20.769005423347,21.0138668968964
"P00028",19.4251496714126,18.6872250201831,18.6503895020605,NA,19.3846699680234,19.1276668794222,19.1167732990354,18.9112273089359,19.8557031840818,19.3542618375008,NA,19.5168594671507,18.4375499413311,18.6815715286103,17.89105725002,19.0114860634943,19.5463281516204,20.0761144664977,19.8544544020058,19.9115702570238,19.224250980453,20.2817496813785,19.2469086472,NA
"P00029",19.9348622234755,18.8970914214983,19.4217127111142,19.3690917004436,19.9968616091553,20.6878722987449,20.4758862105828,NA,20.4375118369273,NA,20.4101642323523,20.5009606055614,19.8063918853086,NA,NA,20.795420579573,20.6404509631843,21.4355301751549,20.8296417565923,20.7463518558869,NA,NA,21.2470220531092,20.9527872225456
"P00030",19.1289409689696,18.6486694861225,19.096688983519,19.5303231516712,19.1011738648678,19.4476659786331,19.5562587257966,18.7612849993306,19.4945958110265,19.9478471800618,19.765624108923,19.7837709063766,19.3095026266116,19.3304769761829,19.5312790902535,19.2158456838114,19.8436388962425,NA,19.6502069891032,20.1167173413671,18.976411009163,20.3462993407458,19.3758154315818,20.3747496642571
"P00031",19.6507433894317,NA,19.9037687742754,19.3082252976142,19.8580133772295,19.9118853678672,19.8026591405428,19.734728486776,20.0326141785705,NA,19.9136250145675,20.3767835561391,20.9023947109354,20.7679770478246,21.3442561815655,20.5456584860277,21.6344727954605,21.3520892096781,NA,21.6371639293497,21.8246528948738,21.6586235189496,21.7680342738124,21.3413739460196
"P00032",19.4180547159164,19.9652565597927,19.649486006309,20.0197085227682,19.1802796235847,19.8005304685208,19.7345927506042,19.880004832444,20.6420229819473,20.0564030735689,20.5558953790539,20.4762580531561,20.1924953652417,20.0885623141573,20.6954935881189,20.3919118370542,20.3363130101952,20.1983468420952,20.2479938615976,20.6237524416414,20.2704415745041,NA,20.9414477144958,NA
"P00033",19.9024898201208,20.1781703576357,20.6025142293391,NA,20.2693381165647,19.5482146703169,19.8812749407401,NA,20.6564572599326,20.3209742682925,20.5271954128233,20.3341896123338,19.9399511168386,20.1401703181672,NA,20.0884001636819,19.7070488661437,20.8097969464304,20.993969161742,20.5920784533629,NA,NA,20.6850373939399,20.6813536387678
"P00034",20.3566109146182,19.4296039883687,19.6570599483593,NA,19.9516952154419,19.7840216903023,20.2030180707142,19.4187411961147,20.2147745034977,20.2428772740554,20.9007724909568,20.4593114909173,20.0140077901648,20.5063295334905,20.4672672341563,NA,21.1319061865571,NA,NA,NA,NA,20.4308296509445,19.1712346389498,20.9888147467432
"P00035",19.6323431872409,20.3508878249884,20.5084142980552,20.4106247193139,20.9165634186131,20.3042028799182,20.2070826726071,NA,20.90242883737,20.5380157053656,20.8456695950878,NA,20.1173842609399,20.3651992802881,20.1070014278003,NA,20.510731473189,20.5102373131836,21.2097880902795,20.6468219332747,20.5546886009792,NA,21.5340255019659,NA
"P00036",19.3340698979783,19.637267520856,20.3314163434153,19.3196129345141,19.5958073755194,20.3472918486362,20.5356251661914,NA,NA,NA,19.5859937016409,20.0973665717323,20.3283033817046,20.1095972287642,19.430794587634,20.0778452781989,19.5704037392771,20.2554888321541,20.5852572984701,20.7574783112156,20.7400997297564,20.9997835080404,19.8689410560012,NA
"P00037",19.4109822711848,NA,19.4818938717397,18.2816136589619,19.7715020770545,20.047884132459,19.3000046913102,18.4426382677908,19.798139284509,19.9097068309103,20.4567296117223,19.2739090194364,19.8131917757805,19.5818611380288,19.9359007457463,NA,19.7517879819335,19.8593766408859,20.0886668297697,20.3794996791449,20.4638030831554,20.3403123283265,20.6684117160789,19.5995910750824
"P00038",19.3922542792704,19.7610305044731,19.8659943938405,19.2808005603562,19.8550594297882,19.0721944798393,20.2881305379459,19.6999811201977,19.995169446711,19.6517046488194,20.365894684461,19.5291071307423,20.1202616059004,19.7696978010025,20.309974796054,19.9562085475134,20.449969297573,20.513508375389,20.7486929532828,20.1050862727692,20.3657738563839,19.9707678897648,NA,20.3920752769235
"P00039",19.5365202382783,19.5812584977596,19.0051619743177,19.6889618279937,20.1563998198912,19.4865881906304,NA,20.1602190308853,20.1017961173708,20.5540430440846,20.6628436479125,20.5047200082872,20.061778297772,20.1194298922692,20.5378198245778,20.0399088834179,20.635272057946,20.2622398670461,20.5052679228817,20.7075220120705,20.5815375216017,NA,21.0793537545004,20.4957812594547
"P00040",NA,NA,19.0473824616565,19.6299807166816,19.7455575433288,19.6147296624767,NA,19.9865450837209,20.8696766159891,20.2655664809961,20.5916412800227,20.675266396131,20.0271818043037,19.8236708657549,20.4982283578855,19.811651828573,20.8113347416619,20.5488580533177,20.7826498383486,20.2893136709692,21.2834435762055,20.3466441811564,20.9689704060879,20.8246878237125
"P00041",19.0237319261066,NA,18.2991157773378,19.5263054904019,19.6918115861332,19.8508358714475,19.7259560677657,19.1281389318588,19.7353231033971,19.0304045153821,19.8925614756255,19.9694511090764,19.3654480906271,19.9117691262368,18.9787954475842,19.5158983174261,20.17118915934,20.4406446985026,20.6990725243488,20.1618467066142,20.9233916469286,20.6728124445775,20.0396393078241,20.4124908917436
"P00042",19.3718608478099,19.2685384828745,19.8807029838556,19.1734679523904,19.4916245202343,19.9746007815586,19.39421453119,19.5309716874519,NA,20.0319779272353,19.7405543807897,20.2857696089193,18.4732298709072,19.4611668384022,20.3756731637414,19.8491256001087,20.4009358072116,20.5303359374091,20.3697805266158,20.6279684472707,20.5485567273622,20.6731401406859,20.4081487975121,19.5211684439378
"P00043",18.8262824327492,19.8902053682383,18.5250197518573,19.2711588912306,19.4054696130927,19.6069882605263,19.553966993505,19.2649430235663,19.8817919686611,19.9380754894838,19.3049664271079,19.870180338311,20.0189201281637,19.4277312919616,19.552967738232,NA,20.3667738974922,19.8781506602464,19.6471649046302,20.1264672144606,20.093451025204,20.0926241254744,20.7024251415937,19.8058359641465
"P00044",19.121616940218,17.7967346597319,18.4727799810008,18.6542579044123,19.2305397359051,18.7942449466915,NA,19.1055490739492,18.8498513787075,19.7804181721547,18.9072039890487,18.8230302043393,18.9932463376952,18.8773568859256,19.0332964651899,18.7827870150413,19.4513832429731,18.714103532522,19.5808183011054,18.7524917709708,18.7514516486855,18.8811993444445,19.6106366838641,19.8856254256884
"P00045",20.2010953203586,20.3761514377795,19.8185377016449,19.8147716522427,NA,NA,20.3510134968731,NA,21.2148856110055,NA,21.1920712099434,21.2139480106939,NA,20.0827359841375,20.8997303983878,NA,20.4821481803052,20.98983402746,21.2202608207654,21.1338512633057,20.6075812602581,21.1177709674877,21.6208778761469,NA
"P00046",NA,19.6228599044055,20.1079076089811,19.7867304272705,20.6578891195896,20.3489548160686,20.3003317914433,19.5441150607704,20.2324762592124,19.9664259730029,20.0008178744619,20.4879498372911,20.5390711284424,20.1499534882906,20.4110697744696,19.7415919150095,20.9340490843442,NA,20.822526322807,21.1140012199361,20.3833180646359,21.3299655358636,19.9018377535441,21.0279548755938
"P00047",19.8213101700077,18.6033445597751,19.9348175365315,NA,19.4684193124886,20.0170363797993,19.7832084169663,NA,NA,20.2372872716235,NA,20.411250758546,20.2081014813675,18.2033836335546,20.1508265972939,19.7446047960781,19.6039038017498,20.6095095574009,NA,20.4290159236326,21.0791364970898,20.2228226600986,20.2172911755098,20.593064176433
"P00048",20.3794868387854,NA,20.0570068280701,NA,NA,NA,19.7997230716786,20.126384153061,NA,20.4384791345076,20.2623853223911,20.4893609479222,19.9129158814086,20.7198009172089,20.6374471063516,20.3633221890075,21.272595385608,NA,20.7858615357807,20.7715040492687,20.6706495227746,20.9255338083671,20.3324948942058,19.9568559422532
"P00049",20.114849682077,19.6413747878048,NA,19.9146581265472,20.0161601527873,20.3812684205033,20.2077673848795,20.1617068246018,20.4414712344559,20.947244832301,20.8259240106754,19.8477837803227,20.0993209579302,20.0730871169575,20.2935549586772,20.4550548019292,20.7217821814382,20.2959446706077,NA,20.9089958850267,NA,21.0634546354146,21.304030838101,21.3276881820907
"P00050",19.018985684153,18.6189100518977,19.2405536146249,18.8873000160179,19.4689588374039,19.2536110270067,19.1862710967505,19.1797542051371,19.6853944553103,18.8683813869026,19.3148345314954,20.0114124789603,19.6102015822307,19.4371293999161,19.1084567061223,18.8456296679443,19.7656981946968,20.244709939157,20.0201302869846,19.6475039347908,20.0401450938442,20.1310152011065,20.1869590410106,20.213600031796
"P00051",NA,19.5855461442496,19.7454009489549,20.1654399678121,20.6577537153359,20.2036980843082,NA,19.4778701251056,20.5263690573833,19.814048961682,NA,20.7629685959972,20.4008443167031,19.6686463925801,NA,19.9464520785365,20.9013434663971,20.3633765868849,21.0550335454441,20.8777437211917,20.8818634205999,20.9083632914274,20.7611018830259,NA
"P00052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00053",20.0955477402185,19.2984750507934,19.4072476512177,19.6450839548485,19.8674550504365,19.0912162855812,20.5136458311138,NA,20.351340487818,20.199945047698,20.7495934098821,19.6359358951373,21.2903833756657,21.2371323737714,21.3172285535463,21.8999459347527,21.8325796216326,NA,22.023201958255,21.9545045491838,22.2786233003424,21.2729122901263,22.4887797722761,NA
"P00054",19.8318384901195,20.2279998827217,19.6417129686398,19.7993701487387,19.9286583239152,19.5556264469946,20.4537397025209,19.9947032809075,20.5726982683443,19.8734180458637,20.8565633803665,20.305298339618,19.7218256250418,20.3574873127694,19.1791146970343,19.7054366265085,20.2720181712056,20.9650257017953,19.6680861427483,20.3467124891865,20.7975212006186,20.9657010056528,20.5367552772831,20.9230020942658
"P00055",19.753830334176,NA,19.5911903732229,19.6883878969296,19.7396798193219,20.2881616205289,19.4764750718163,19.9686099453724,20.6651849681047,19.8733410531923,NA,NA,19.349632691546,20.2116584600626,20.0375364043833,19.8271367637918,21.0477795911775,20.4906900662569,20.7392611532863,20.659261008012,20.5567015734409,21.0266186057581,20.2609683449032,20.6370888641887
"P00056",NA,19.0826052986146,18.5982941570158,18.4566540367909,19.146749450553,NA,19.3355269063758,19.1800186531915,18.7875851006697,19.4577088049147,18.789561900428,18.3969753510729,21.4476366493656,NA,20.5688908746553,20.970762868035,21.508088226222,20.7388786027083,21.5601043215413,20.985908847514,21.2163783802583,NA,21.6595964526598,21.9320145616559
"P00057",19.5601448430228,18.6665770852788,19.6792572971192,19.5096644264692,19.3733705279057,19.6236038694385,19.900356989771,19.3591089919356,19.8232723510384,NA,20.3356581738454,19.7374447537526,19.5024533975997,19.764160429638,19.6522599153953,20.0554419325627,20.1249563571533,20.5255856879006,20.4404438185029,20.0871972688625,20.9149837041958,19.3276517809193,20.4515736357359,20.8974743569936
"P00058",19.611312127662,19.6955744213951,20.333126048142,19.5243285796946,20.637108818009,20.0209589422786,20.3986837428358,19.5277789788044,20.6573953883559,20.5338733816716,NA,20.8764886016176,NA,20.3443256421082,20.0400347431008,20.1191541774142,19.9127952190815,NA,20.5380332319319,NA,20.9113432169138,NA,20.5183838389518,20.8130743482033
"P00059",NA,19.6642519058833,20.6672015576854,NA,NA,20.785142314081,20.2511598729868,20.4129669820531,20.3995002269326,21.3471606288266,20.9062533631024,20.7909540150547,20.9392467575165,20.5990259064313,20.8070959406924,NA,21.1992503721027,21.3681931660751,NA,NA,20.9747429688832,21.7818363181685,21.2329307003946,21.2677053754344
"P00060",18.5887816538343,19.0527562682954,19.2550867795199,18.2804149947124,18.9667497616136,19.7568553926855,19.0358078008024,19.5252880891243,19.7769345346091,19.8320559004564,19.8477557180557,19.6692347950232,19.07922988695,19.0424104989608,19.1780985423062,18.8647614130872,19.7902120522914,20.1289029173955,19.43751859805,20.3374615782108,19.8374519656978,20.2211690816569,20.0221552882038,19.9483413227222
"P00061",NA,17.759931646589,18.7832456802758,18.9319038424217,18.9215784566056,18.5616895187672,19.0908045873418,19.0998178106571,19.1772968365199,19.4624459346272,19.305762888144,18.3871225816041,19.4300655274307,18.6438756031153,18.7531886866125,18.6366167444891,19.5987363876951,18.4811291673987,19.6517121135256,19.3812321493279,18.8679065002536,19.3536747381071,19.1105209959412,NA
"P00062",19.2221756817158,19.0435926476651,18.7061478338046,18.7388824735722,19.391278607568,19.1952944644684,19.5005608190631,19.5911831866733,19.636272162662,18.9615786106533,19.9368814231679,18.4255017389713,18.9100393867946,19.5782312586239,19.5522520170956,18.9348929393318,19.7056918747952,19.2753031617861,20.2796446907713,19.0015468978248,20.2690589785823,19.9950707772282,NA,19.6517923058577
"P00063",19.640826197452,19.3942871606095,19.8398480106471,NA,20.0164110537401,19.5561766000877,NA,19.6830082600859,20.6725297651136,20.1524135803326,19.7638078024822,20.7088317890154,19.926021952229,NA,20.1407166793264,19.0514076029916,20.7809874366692,NA,20.673960605149,19.8209981371059,20.5543640172039,20.7651486987407,20.2349017498605,20.1454307691085
"P00064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00065",19.217890484801,17.4774642768024,18.5946726182212,19.1002509214126,NA,NA,19.0993389543799,17.8553815798883,19.3341298957275,19.0305913250992,18.9979187261309,19.3300362052765,20.5408292168526,20.9082962568289,20.9100345426228,20.8357574310051,21.1621948347071,20.9152426179194,21.226638881319,21.4585231988889,20.9935125281072,21.2741389645353,20.8309767312939,20.4890108563416
"P00066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00067",19.9675369672317,NA,20.7562727487288,20.1104063607297,19.8173237548729,20.1004957152875,20.0835785458451,20.0886945374339,20.5490212172585,20.6924231932902,21.2384757705358,21.0750682647491,NA,20.4061849098862,20.8181819491743,20.0921933146349,NA,NA,20.6558918471739,21.2523963328256,21.9016937116889,21.4222605452706,21.1859430694101,NA
"P00068",17.9793274630978,19.8196545340411,19.7542394994844,19.6041299613738,19.7315569652487,19.9114428862119,19.3141877881054,20.20987312256,19.9805967024644,19.6212968669561,20.4115536275258,NA,19.3339135713235,19.9130578521063,20.3031551911818,20.220954259944,20.2797314695675,19.2457586852602,19.1512041252437,20.3840199939208,21.1073964398374,19.6668041082872,20.1843679110394,20.8692996613968
"P00069",19.2527298835308,NA,19.016095599133,18.9486183265492,19.0187471664147,19.5465975311419,19.1513487375958,19.4323404089323,19.6064043692762,19.7848722328936,20.1441310469041,19.9870573189059,19.3693814127229,19.822768758178,19.2081884962784,19.7041916867225,19.6211382112874,20.5601612983461,19.8529479814845,20.2722917419172,20.0838629514851,20.4424005281489,20.4817554247301,20.3983106264338
"P00070",19.4373470887649,19.5983744950583,19.4646384280891,19.3748637331743,19.3939908552413,19.7307536861578,NA,19.1862877587637,20.279681244154,20.4041445269656,20.1681092068663,20.1464152611274,19.5185934194418,19.8437867637443,19.4469832263516,19.9030794208442,20.1055325386905,20.262724916085,20.1882191735296,20.060204375077,19.8880687226823,19.8303223517125,20.664973907738,19.9337427466158
"P00071",18.955043283832,NA,20.1756329364173,NA,NA,20.0852485251197,20.3992065012724,20.7645983316257,20.3439925966042,21.1443925221036,19.9928854891147,20.4731462591127,21.3047909046122,21.1365268212531,21.9887082137314,21.2895188151083,21.5882769595242,NA,NA,22.1617328487591,22.8366366838091,22.5932566209599,22.0753335698344,22.1498106833298
"P00072",20.204363391711,19.0135163879252,NA,20.3747586733842,19.921334146283,20.4629074210034,19.9189822833393,NA,20.6955261528526,NA,NA,20.6274600393376,20.6677255691354,20.5670088467979,19.9123253487606,20.6392253493822,NA,20.3123713106889,21.3836226052281,20.6494722236581,20.8146787136056,20.955493197743,20.7349084580487,21.2298197006645
"P00073",19.1819302102431,19.270988549213,19.3505789999104,19.3890636161245,NA,19.6934926679752,19.5687980097767,19.350318378807,20.0609301451451,20.3991709081199,19.9633547035387,19.9733235380121,21.0264606156394,19.6733317063755,NA,NA,20.9775480924961,21.4241453850755,21.4583984311311,21.5546169946649,21.0916583128149,21.4072881624804,20.9379226165021,21.4582697935221
"P00074",NA,19.8411207129121,19.871560542224,NA,20.73504893003,NA,20.8705867242804,20.8479076951211,20.0409076769178,NA,20.602642827266,20.5546453123439,21.963294473492,22.0563418657673,22.6489956778909,22.5907879799506,22.8770390440349,22.2567197563419,22.9071817009414,22.3102194390845,22.5575763846878,21.4929190481985,NA,22.5244224596254
"P00075",20.0838714336443,19.8697474830033,19.6654146958301,NA,20.600583301441,20.4692405607446,19.7885956721546,20.3836106754022,20.48131950063,20.6293730641102,19.932366880829,21.0101850265476,20.9510787997664,NA,21.9400841662633,21.8787099821723,22.6708312134659,22.5694411329315,22.435626498465,22.1559375682308,23.2084679091478,NA,22.3004476058872,23.290910670554
"P00076",19.4471824386101,19.7907160369514,19.9180180490888,19.0901648343708,20.1243319963909,NA,19.9670633394587,20.4403673893298,20.5303971836312,19.858570258555,19.669099542859,20.5962111303227,20.0174461864683,19.723319503317,19.9400924981923,20.047546837198,20.9922300317748,20.9106679510156,20.7113464911847,NA,21.3597786646448,20.312616724843,21.2543940574065,20.3080671751621
"P00077",19.8165199074685,19.5495287702356,19.5929467698175,20.2106684251146,19.727896881316,20.0321055906791,20.1192101455872,20.4556067161843,20.0525199833921,20.4762637674937,NA,20.2994603459068,19.5282117406996,20.4629623820767,20.4874296134036,20.2975822168206,20.4630046575662,NA,20.3032547562948,20.1118066739301,20.5560078318821,21.119880074078,20.7983596911806,21.0726066562543
"P00078",17.7496454875037,16.6699579250865,17.0216380402434,17.7334746142859,17.9478255728678,18.1029215934197,17.1177263119085,17.2100560875022,17.253141613137,18.2521981620727,18.0314602731744,18.370908361473,17.0201841629037,16.4754554718529,16.9196492900273,16.9234996668705,17.5217718583923,17.5174754422875,17.065925952245,14.1568726195214,17.6011386681738,17.1656453912245,17.161692586852,17.8761674635391
"P00079",19.7705433058114,19.1101733044283,NA,19.632131598706,19.6334716785995,19.5729083622426,19.7634928250578,20.0462777545303,19.7124132655006,20.2508941817014,19.9422957071847,20.0020138906963,19.0373159148066,NA,20.259215034251,19.955504720662,20.7995731354155,19.7767642246475,20.3824999779209,NA,20.0117754149734,20.3716342243507,20.8590602981454,NA
